R,x,y,z,name
128.589579386333526,151.208938300641393,151.208929822860000,150.999987006731146,vox_2.0556_3_D0_S0.mat
128.509139972361424,151.217988947139617,151.222918347688335,150.994120518108502,vox_2.0556_3_D0_S1.mat
128.513502281504998,151.207398194196259,151.208132281369217,151.000565745949757,vox_2.0556_3_D1_S0.mat
128.476920421722980,151.176427044014190,151.200367829733068,150.992908552069423,vox_2.0556_3_D1_S1.mat
128.589560842788643,151.208938553667622,151.208929342603795,150.999961020193297,vox_2.0556_4_D0_S0.mat
128.508431271719957,151.204724068232508,151.216070114741228,150.996175951403927,vox_2.0556_4_D0_S1.mat
128.512741665390905,151.207396781374598,151.207707533433961,151.000044300803154,vox_2.0556_4_D1_S0.mat
128.476411281017448,151.204506484830603,151.193659498992162,150.998065704545382,vox_2.0556_4_D1_S1.mat
128.589574785584659,151.208948341501980,151.208948341502037,150.999974177371257,vox_2.0556_5_D0_S0.mat
128.508921676104990,151.202925171549794,151.207218625647840,151.011039741849885,vox_2.0556_5_D0_S1.mat
128.512137043217990,151.206966696270683,151.207265288172948,151.000254261069671,vox_2.0556_5_D1_S0.mat
128.477936592926170,151.211298716783517,151.199478246549802,151.004983977218359,vox_2.0556_5_D1_S1.mat
128.615014976692322,151.208611812528574,151.208611812528432,151.000000000000000,vox_2.3333_1_D0_S0.mat
128.509644332293135,151.229138825892562,151.186047862054522,150.994159858330931,vox_2.3333_1_D0_S1.mat
128.532008155315964,151.208320585335770,151.209210848823290,151.001636844897405,vox_2.3333_1_D1_S0.mat
128.481584036522349,151.190637953166174,151.212262032791671,150.997453811365659,vox_2.3333_1_D1_S1.mat
128.615014976692322,151.208611812528574,151.208611812528432,151.000000000000000,vox_2.3333_2_D0_S0.mat
128.509896541588688,151.204938499098944,151.186838442688185,150.989365490920676,vox_2.3333_2_D0_S1.mat
128.532414918997517,151.208688900453836,151.208170847564958,151.000706161218829,vox_2.3333_2_D1_S0.mat
128.481752473147253,151.206055689243982,151.209777124303457,150.998688708846572,vox_2.3333_2_D1_S1.mat
128.615014976692322,151.208611812528574,151.208611812528432,151.000000000000000,vox_2.3333_3_D0_S0.mat
128.508945319693936,151.224943111726333,151.230692891163301,150.987895336217150,vox_2.3333_3_D0_S1.mat
128.533419534897291,151.209220982684627,151.206863752172410,150.999635274950663,vox_2.3333_3_D1_S0.mat
128.483216410052108,151.205899887264849,151.183749550428530,150.999143158841122,vox_2.3333_3_D1_S1.mat
128.615014976692322,151.208611812528574,151.208611812528432,151.000000000000000,vox_2.3333_4_D0_S0.mat
128.509380419644714,151.196640295688695,151.227457758947821,151.001766060356374,vox_2.3333_4_D0_S1.mat
128.532782948471549,151.208300976933231,151.209730078743092,151.000447871758212,vox_2.3333_4_D1_S0.mat
128.481928781861569,151.206118584144150,151.196535450438319,150.993767948894771,vox_2.3333_4_D1_S1.mat
128.615014976692322,151.208611812528574,151.208611812528432,151.000000000000000,vox_2.3333_5_D0_S0.mat
128.509674726829076,151.198731707318075,151.208867311587937,151.002580997014917,vox_2.3333_5_D0_S1.mat
128.533076662387032,151.208484731748769,151.207303949447123,150.999651356720676,vox_2.3333_5_D1_S0.mat
128.481920254320102,151.210778219167793,151.212245654751030,150.999337157864744,vox_2.3333_5_D1_S1.mat
128.578610826416877,151.208970322706051,151.208967752905068,151.000000012773256,vox_2.6111_1_D0_S0.mat
128.503528773518894,151.195063185631312,151.204298413227718,151.002935118617557,vox_2.6111_1_D0_S1.mat
128.539191787804072,151.210295585426991,151.206952081555329,151.000068709711286,vox_2.6111_1_D1_S0.mat
128.482181364717832,151.196409276294276,151.181370589762622,150.984440912545153,vox_2.6111_1_D1_S1.mat
128.578591496419904,151.209037688284525,151.208955070470807,151.000002789785157,vox_2.6111_2_D0_S0.mat
128.503318071332927,151.200164280973922,151.197732831868365,151.002445291334681,vox_2.6111_2_D0_S1.mat
128.539731605833907,151.208084956145797,151.209076323482890,151.000748722832924,vox_2.6111_2_D1_S0.mat
128.481787487217304,151.206648538113797,151.211344496037015,151.008539372874992,vox_2.6111_2_D1_S1.mat
128.578617287291195,151.208986196469567,151.208972226737700,151.000002828103902,vox_2.6111_3_D0_S0.mat
128.503660300027320,151.192843138007873,151.214118329591969,151.006935162890272,vox_2.6111_3_D0_S1.mat
128.539849558666305,151.209071471525732,151.208048212364304,151.000144750123724,vox_2.6111_3_D1_S0.mat
128.480983469920716,151.195002626780081,151.212299820593870,150.982490962399538,vox_2.6111_3_D1_S1.mat
128.578610844131532,151.208972296111739,151.209003791762541,151.000011235776185,vox_2.6111_4_D0_S0.mat
128.502651450154616,151.202455687092083,151.202507185940959,151.006223591999628,vox_2.6111_4_D0_S1.mat
