R,x,y,z,name
128.508940346179543,151.212523569235145,151.215598088661551,151.002598923092705,vox_2.0556_3_D0_S1.mat
128.508556231662226,151.195904357472244,151.214065294244222,151.001813283235720,vox_2.0556_4_D0_S1.mat
128.508403389045327,151.212148489556313,151.199440880374681,151.001816515164364,vox_2.0556_5_D0_S1.mat
128.508761537673337,151.216516227726572,151.193032212177684,151.007256289268355,vox_2.0556_6_D0_S1.mat
128.508506820845412,151.195564571503979,151.209847331562742,150.997770186342194,vox_2.0556_7_D0_S1.mat
128.508453636008966,151.202619948500399,151.196413601413468,150.996440767671174,vox_2.0556_8_D0_S1.mat
128.508520945318196,151.207961208437382,151.212445260140100,151.011800599255167,vox_2.0556_9_D0_S1.mat
128.512804329166698,151.222463199578669,151.202086630863391,151.012357956165346,vox_2_10_D0_S1.mat
128.512904281222660,151.187783441955020,151.210625423658314,151.004124341019036,vox_2_11_D0_S1.mat
128.513196284775887,151.210986927112998,151.208525594624120,151.000510267651038,vox_2_12_D0_S1.mat
128.512787016401802,151.212935262383013,151.215525789960537,151.011479584382528,vox_2_13_D0_S1.mat
128.512489830438369,151.221545345164060,151.208224261279327,151.007377517984224,vox_2_14_D0_S1.mat
128.512573131347807,151.215511791906977,151.201238615971988,151.007387176781151,vox_2_15_D0_S1.mat
128.513248072415450,151.189041048957904,151.202051530001285,150.992206191383389,vox_2_16_D0_S1.mat
128.512238654971100,151.232788640502775,151.206542532686314,151.011929470919313,vox_2_17_D0_S1.mat
128.512954864928901,151.187656049863676,151.200389149578143,151.007199668471912,vox_2_18_D0_S1.mat
128.512399194295313,151.226156079195732,151.209163461013389,150.987733619817931,vox_2_19_D0_S1.mat
128.512323815215865,151.226034878209362,151.199270016972264,150.991015081616212,vox_2_1_D0_S1.mat
128.512132422414140,151.221328829295345,151.209953082520030,151.003625133971411,vox_2_20_D0_S1.mat
128.512675254492905,151.223692693495678,151.191177064051715,151.008411380773822,vox_2_2_D0_S1.mat
128.512474252687554,151.213368395857316,151.209835084426487,151.002953653473867,vox_2_3_D0_S1.mat
128.512771650050439,151.195283992090879,151.203135269972876,150.996894523001600,vox_2_4_D0_S1.mat
128.512236608743279,151.209941416658154,151.192961874558563,151.011132270886321,vox_2_5_D0_S1.mat
128.512206216497560,151.208011511221798,151.194956845261061,151.001530702581675,vox_2_6_D0_S1.mat
128.512377972652587,151.205484382603174,151.228562686761649,151.004161281539155,vox_2_7_D0_S1.mat
128.513196578312574,151.209293732347163,151.198093204594528,150.997339529216390,vox_2_8_D0_S1.mat
128.512575468594093,151.209347224456849,151.205683387317691,151.011284033518564,vox_2_9_D0_S1.mat
128.476483671137231,151.197401849404997,151.171275755834301,151.006595397519988,vox_4_10_D0_S1.mat
128.476500880799790,151.215680858391892,151.170193228112254,151.007133359501438,vox_4_11_D0_S1.mat
128.475849831273337,151.180633013188185,151.186881096443528,151.005276396935756,vox_4_12_D0_S1.mat
128.476266268701295,151.214023583549363,151.257616495318103,150.999867084305976,vox_4_13_D0_S1.mat
128.475795193679460,151.209773221863145,151.204775805649660,150.987777662622989,vox_4_14_D0_S1.mat
128.477395218890820,151.210764223430601,151.189060766212833,150.994627184687289,vox_4_15_D0_S1.mat
128.475824112037657,151.193966216475872,151.224271854640250,150.967311242257466,vox_4_16_D0_S1.mat
128.475645819543018,151.209809882033028,151.197710010882048,150.995896280481560,vox_4_17_D0_S1.mat
128.475926923520802,151.223306715857063,151.209345982599359,150.992156394359114,vox_4_18_D0_S1.mat
128.476533281860725,151.199259751119882,151.184872875035609,151.001667657851527,vox_4_19_D0_S1.mat
128.476350605455934,151.221163923737208,151.180321629520165,151.007517211650423,vox_4_1_D0_S1.mat
128.476108197366017,151.214024477238269,151.199129512078031,150.992910320130591,vox_4_20_D0_S1.mat
128.476537243476173,151.224783528737987,151.185239067400147,151.002843350988229,vox_4_2_D0_S1.mat
128.475748690186407,151.225308394099386,151.212970766910445,151.008742540395843,vox_4_3_D0_S1.mat
128.477039417714991,151.202796900541159,151.231052922687297,151.030513076079131,vox_4_4_D0_S1.mat
128.475934782353278,151.224759269176474,151.224108551805585,150.981459869512037,vox_4_5_D0_S1.mat
128.475059991335399,151.218358608189448,151.196718331170160,151.016566316089296,vox_4_6_D0_S1.mat
128.476153737300933,151.211164929600272,151.196910026998097,150.980910342958055,vox_4_7_D0_S1.mat
128.476006881461274,151.202654913122103,151.206358439231280,151.003188277673672,vox_4_8_D0_S1.mat
128.476789313481277,151.203884483842643,151.229049924035735,150.991304209712013,vox_4_9_D0_S1.mat
